Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,11.5,36.99,1.5,7.9,7.7,13.5,33.2,24.7,10.5,46.77,1.09,1.87,38.01,6.22,0.85,0.65,130.82,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.72,26.79,22.66,24.68,22.68,19.86,5.57,5.76,3.73,0.57,23.33,4.03,0.73,22.76,16.1,5.46,2.47,135.75,50.63,14.64,,18.84,,19.54,6.14,30.93,24.59,2.05,5.86,,0.79,1.57,,25.03,4.77,1.16,,,20.36,30.6,1.87,1.97,20.8,1.64,11.49,63.42,15.6,20.99,,14.11,,2.99,42.89,,,10,33913792728.0,Medical Specialties,Health Technology
AA,15.91,41.29,1.4,10.2,,,,,5.9,23.85,1.03,30.21,35.56,1.06,0.45,0.53,39.18,1.61,83.25,57.67,25.57,134.11,0.64,,,1.03,,426.1,,21.84,7.89,0.79,0.77,,0.28,,,1.03,331.26,,,3.32,40.02,6.37,,,,,,1.76,,,,0.65,,,,,,,,,,211,,,1.77,1.85,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,38.98,,10.4,,,,,27,58.04,,,45.61,0.66,0.33,0.21,10.73,0.58,20.92,21.48,13.98,14.34,,,,,13.99,13.99,,11.86,6.9,0.71,0.73,7.15,,,,,4.85,,20.05,4.56,18.66,21.59,1.73,,0.94,,6.83,,17.88,5.84,,0.13,,,,,,,0.31,,,2.77,,,,,0.48,0.76,7.26,6.75,,,3.98,,39.82,7.78,,,8,8696254174.0,Airlines,Transportation
AAON,14.69,59.08,,26.3,8.1,29.5,31.8,,29.5,52.75,0.56,1.96,58.2,28.34,0.07,0.49,88.57,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.37,30.45,25.03,55.25,,,,6.03,3.28,0.82,10.92,1.75,0.37,,20.59,18.68,10.86,77.64,35.56,58.55,,15.44,,19.77,9.26,41.25,41.25,1.64,6.35,,2.27,5.05,,58.28,4.59,1.27,,32.44,30.09,44.38,1.78,6.29,11.5,1.57,19.39,38.08,29.18,25.9,,21.96,,0.79,85.16,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,35.44,3.6,,26,,,,8.9,36.3,35.7,2.1,34.72,1.28,0.09,0.11,61.73,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.67,69.68,17.17,14.92,18.95,10.31,0.62,0.62,1.44,0.21,4.18,12.8,1.67,16.99,6.98,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.43,89.46,89.46,,0.32,,,,,7.8,3.84,0.29,,,5.49,12.15,,0.54,3.71,0.29,0.13,1.96,1.42,0.62,,1.21,,,8.09,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,10.14,79.39,2.9,1.3,5.7,20.9,23.2,14.6,15.7,92.03,0.58,11.62,83.94,10.48,0.54,0.64,227.59,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.42,30.08,27.47,35.42,27.9,25.89,8.64,9.46,3.32,0.22,26.71,2.92,0.43,30.7,20.11,9.92,5.18,179.25,45.59,59.12,,26.31,,30.98,47.02,35.39,35.39,2.09,9.33,,1.46,1.66,,34.87,8.6,2.3,,,32.16,37.63,1.99,2.65,47.02,0.99,29.34,262.55,56.47,150.79,,34.83,,2.9,51.49,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,1.7,55.38,,,9.7,8.1,22.2,18.4,8.5,57.23,7.09,,56.65,0.65,0.98,0.06,23.19,2.06,,143.65,6.4,6.71,1.43,,1.49,5.77,21.87,11.6,24.23,,,,6.67,4.57,0.4,27.51,8.65,5.78,,7.96,,2.41,29.16,62.64,1.88,,15.46,,27.6,1.18,26.06,26.06,11.33,3.81,,2.26,1.26,9.8,13.87,1.18,0.51,,,8.88,17.27,,1.04,1.2,2.06,2.29,612.23,4.67,5.68,,4.28,,3.9,28.99,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,23.7,51.89,,,7.8,9.6,49.1,7.4,3.8,55.15,5.86,2.39,51.71,1.81,0.44,0.24,169.91,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.59,35.78,19.07,16.12,13.81,13.34,6.39,6.49,2.79,0.05,40.24,7.3,3.67,15.11,24.39,6.92,5,142.1,62.28,5.83,,11.02,,24.96,37.43,50.42,15.5,1,5.58,,0.69,0.45,,13.86,,1.26,,,13.36,20.32,0.88,1.48,,0.83,4.34,199,9.56,52.94,,9.67,,5.1,37.02,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,33.96,,8.7,,,,,,48,,,37.52,1.94,6.66,9.48,3.13,7.76,,,342.96,,0.07,,,,,,,,,8.29,5.56,,0.77,,,,,,,31.92,1.22,,,,,,,0.81,,,,25.24,,,,,,,,2.52,1.91,,,,,0.95,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,50.39,,2.2,20.8,5.4,3.2,9.8,11,74.47,11.22,,59.81,3.43,0.4,3.65,2.14,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.06,8.56,6.32,8.4,8.24,6.26,1.97,1.98,11.68,0.65,25.4,12.2,7.06,12.6,14.78,5.25,6.19,2.95,50.66,6.83,,18.25,,23.83,2.1,11.44,10.97,2.24,2.29,,,,,9.04,1.62,0.41,,,7.01,10.18,1.75,0.69,4.98,0.7,10.77,64.69,18.64,17.03,,17.22,,6.56,11.26,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
